
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=sequencing-microset


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: sequencing-microset (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  late       the-abortive              turtle       policy-pick             0%  0/0/60/0       3.0        3%     41%    59%  100% 1.00   35%
  late       the-abortive              chaos        policy-pick             0%  0/0/60/0       3.1        8%     22%    19%  100% 1.00   55%
  late       the-abortive              mercy-seeker policy-pick             0%  0/0/60/0       3.2        9%     34%    66%  100% 1.00   45%
  impossible the-incompleteness        greedy       policy-pick             0%  0/0/60/0       5.0       15%     21%    17%  100% 1.00   57%
  impossible the-incompleteness        blind        policy-pick             0%  0/0/60/0       5.0       15%     21%    17%  100% 1.00   56%
  impossible the-incompleteness        dot-weaver   policy-pick             0%  0/0/60/0       5.0       30%     54%    46%  100% 0.98   22%
  impossible the-incompleteness        control-lock policy-pick             0%  0/0/60/0       5.0       31%     42%    35%  100% 1.00   29%
  impossible the-incompleteness        aggro-brute  policy-pick             0%  0/0/60/0       5.0       21%     20%    16%  100% 0.99   36%
  impossible the-incompleteness        turtle       policy-pick             0%  0/0/60/0       5.0        3%     50%    50%  100% 1.00   38%
  impossible the-incompleteness        chaos        policy-pick             0%  0/0/60/0       5.1        9%     30%    25%  100% 1.00   49%
  impossible the-incompleteness        mercy-seeker policy-pick             0%  0/0/60/0       5.5        9%     39%    61%  100% 0.99   45%

Win-path mix (per cell — victory/mercy/capitulate/concede/defeat):
  early      grave-larva               greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               dot-weaver   policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      grave-larva               control-lock policy-pick           vic= 30 mer=  0 cap=  0 con=  0 def= 30
  early      grave-larva               aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               turtle       policy-pick           vic= 32 mer=  0 cap=  0 con=  0 def= 28
  early      grave-larva               chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               mercy-seeker policy-pick           vic= 51 mer=  0 cap=  0 con=  0 def=  9
  early      foot-stealer              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              control-lock policy-pick           vic= 26 mer=  0 cap=  0 con=  0 def= 34
  early      foot-stealer              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              turtle       policy-pick           vic= 17 mer=  0 cap=  0 con=  0 def= 43
  early      foot-stealer              chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              mercy-seeker policy-pick           vic= 39 mer=  0 cap=  0 con=  0 def= 21
  early      little-belle              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              control-lock policy-pick           vic= 28 mer=  0 cap=  0 con=  0 def= 32
  early      little-belle              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              turtle       policy-pick           vic= 21 mer=  0 cap=  0 con=  0 def= 39
  early      little-belle              chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              mercy-seeker policy-pick           vic= 50 mer=  0 cap=  0 con=  0 def= 10
  early      water-holger              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              dot-weaver   policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      water-holger              control-lock policy-pick           vic= 27 mer=  0 cap=  0 con=  0 def= 33
  early      water-holger              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              turtle       policy-pick           vic= 22 mer=  0 cap=  0 con=  0 def= 38
  early      water-holger              chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              mercy-seeker policy-pick           vic= 40 mer=  0 cap=  0 con=  0 def= 20
  early      the-butcher               greedy       policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      the-butcher               blind        policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      the-butcher               dot-weaver   policy-pick           vic= 55 mer=  0 cap=  1 con=  0 def=  4
  early      the-butcher               control-lock policy-pick           vic= 12 mer=  0 cap=  0 con=  0 def= 48
  early      the-butcher               aggro-brute  policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      the-butcher               turtle       policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
  early      the-butcher               chaos        policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      the-butcher               mercy-seeker policy-pick           vic= 12 mer=  0 cap=  0 con=  0 def= 48
  early      king-of-revenge           greedy       policy-pick           vic= 50 mer=  0 cap=  0 con=  0 def= 10
  early      king-of-revenge           blind        policy-pick           vic= 50 mer=  0 cap=  0 con=  0 def= 10
