
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               control-lock policy-pick           vic= 58 mer=  0 cap=  2 con=  0 def=  0
  early      grave-larva               aggro-brute  policy-pick           vic= 55 mer=  0 cap=  5 con=  0 def=  0
  early      grave-larva               turtle       policy-pick           vic= 48 mer=  0 cap=  1 con=  0 def= 11
  early      grave-larva               chaos        policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      grave-larva               mercy-seeker policy-pick           vic= 56 mer=  0 cap=  4 con=  0 def=  0
  early      foot-stealer              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              control-lock policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              turtle       policy-pick           vic= 39 mer=  0 cap=  0 con=  0 def= 21
  early      foot-stealer              chaos        policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      foot-stealer              mercy-seeker policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              greedy       policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      little-belle              blind        policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      little-belle              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              control-lock policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              aggro-brute  policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      little-belle              turtle       policy-pick           vic= 46 mer=  0 cap=  1 con=  0 def= 13
  early      little-belle              chaos        policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      little-belle              mercy-seeker policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              control-lock policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              turtle       policy-pick           vic= 41 mer=  0 cap=  1 con=  0 def= 18
  early      water-holger              chaos        policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      water-holger              mercy-seeker policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      the-butcher               greedy       policy-pick           vic= 57 mer=  0 cap=  0 con=  0 def=  3
  early      the-butcher               blind        policy-pick           vic= 57 mer=  0 cap=  0 con=  0 def=  3
  early      the-butcher               dot-weaver   policy-pick           vic= 57 mer=  0 cap=  0 con=  0 def=  3
  early      the-butcher               control-lock policy-pick           vic= 49 mer=  0 cap=  0 con=  0 def= 11
