
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=chooseX-vein


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: chooseX-vein (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        jeweled-tree              blind        policy-pick            20%  10/2/48/0      5.6       24%     55%    45%  100% 0.98   47%
  mid        jeweled-tree              dot-weaver   policy-pick            22%  13/0/47/0      4.2       35%     53%    46%  100% 0.99   31%
  mid        jeweled-tree              control-lock policy-pick            35%  9/12/39/0      7.0       21%     50%    43%  100% 1.00   57%
  mid        jeweled-tree              aggro-brute  policy-pick             0%  0/0/60/0       4.7       21%     20%    16%  100% 1.00   46%
  mid        jeweled-tree              turtle       policy-pick             0%  0/0/60/0       4.0        1%     53%    47%  100% 0.98   41%
  mid        jeweled-tree              chaos        policy-pick             5%  2/1/57/0       5.9       13%     56%    44%  100% 0.98   60%
  mid        jeweled-tree              mercy-seeker policy-pick             0%  0/0/60/0       4.5        4%     30%    70%  100% 0.98   56%
  mid        rawhead-rex               greedy       policy-pick             0%  0/0/60/0       3.0       19%     58%    42%  100% 0.99   57%
  mid        rawhead-rex               blind        policy-pick             0%  0/0/60/0       3.0       19%     58%    42%  100% 0.99   57%
  mid        rawhead-rex               dot-weaver   policy-pick             0%  0/0/60/0       3.1       34%     53%    46%  100% 0.99   32%
  mid        rawhead-rex               control-lock policy-pick             0%  0/0/60/0       3.7       22%     47%    43%  100% 1.00   58%
  mid        rawhead-rex               aggro-brute  policy-pick             0%  0/0/60/0       3.3       20%     20%    16%  100% 1.00   41%
  mid        rawhead-rex               turtle       policy-pick             0%  0/0/60/0       3.0        1%     54%    46%  100% 0.98   52%
