
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: bridge-rewards (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               chaos        policy-pick           vic= 54 mer=  0 cap=  6 con=  0 def=  0
  early      grave-larva               mercy-seeker policy-pick           vic= 55 mer=  0 cap=  0 con=  0 def=  5
  early      foot-stealer              greedy       policy-pick           vic= 56 mer=  0 cap=  4 con=  0 def=  0
  early      foot-stealer              blind        policy-pick           vic= 56 mer=  0 cap=  4 con=  0 def=  0
  early      foot-stealer              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              control-lock policy-pick           vic= 41 mer=  0 cap= 18 con=  0 def=  1
  early      foot-stealer              aggro-brute  policy-pick           vic= 54 mer=  0 cap=  6 con=  0 def=  0
  early      foot-stealer              turtle       policy-pick           vic= 12 mer=  0 cap=  0 con=  0 def= 48
  early      foot-stealer              chaos        policy-pick           vic= 55 mer=  0 cap=  5 con=  0 def=  0
  early      foot-stealer              mercy-seeker policy-pick           vic= 46 mer=  0 cap=  0 con=  0 def= 14
  early      little-belle              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              control-lock policy-pick           vic= 37 mer=  0 cap= 23 con=  0 def=  0
  early      little-belle              aggro-brute  policy-pick           vic= 58 mer=  0 cap=  2 con=  0 def=  0
  early      little-belle              turtle       policy-pick           vic= 15 mer=  0 cap=  0 con=  0 def= 45
  early      little-belle              chaos        policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      little-belle              mercy-seeker policy-pick           vic= 55 mer=  0 cap=  0 con=  0 def=  5
  early      water-holger              greedy       policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      water-holger              blind        policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      water-holger              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              control-lock policy-pick           vic= 38 mer=  0 cap= 22 con=  0 def=  0
  early      water-holger              aggro-brute  policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      water-holger              turtle       policy-pick           vic= 20 mer=  0 cap=  0 con=  0 def= 40
  early      water-holger              chaos        policy-pick           vic= 58 mer=  0 cap=  2 con=  0 def=  0
  early      water-holger              mercy-seeker policy-pick           vic= 47 mer=  0 cap=  0 con=  0 def= 13
  early      the-butcher               greedy       policy-pick           vic= 57 mer=  0 cap=  1 con=  0 def=  2
  early      the-butcher               blind        policy-pick           vic= 57 mer=  0 cap=  1 con=  0 def=  2
  early      the-butcher               dot-weaver   policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      the-butcher               control-lock policy-pick           vic= 25 mer=  0 cap=  9 con=  0 def= 26
  early      the-butcher               aggro-brute  policy-pick           vic= 56 mer=  0 cap=  2 con=  0 def=  2
  early      the-butcher               turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      the-butcher               chaos        policy-pick           vic= 58 mer=  0 cap=  1 con=  0 def=  1
  early      the-butcher               mercy-seeker policy-pick           vic=  7 mer=  0 cap=  0 con=  0 def= 53
  early      king-of-revenge           greedy       policy-pick           vic= 43 mer=  0 cap=  1 con=  0 def= 16
  early      king-of-revenge           blind        policy-pick           vic= 44 mer=  0 cap=  1 con=  0 def= 15
  early      king-of-revenge           dot-weaver   policy-pick           vic= 34 mer=  0 cap=  0 con=  0 def= 26
  early      king-of-revenge           control-lock policy-pick           vic=  2 mer=  0 cap=  1 con=  0 def= 57
  early      king-of-revenge           aggro-brute  policy-pick           vic= 24 mer=  0 cap=  2 con=  0 def= 34
  early      king-of-revenge           turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      king-of-revenge           chaos        policy-pick           vic= 29 mer=  0 cap=  0 con=  0 def= 31
  early      king-of-revenge           mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  dot-weaver   policy-pick           vic= 49 mer=  0 cap=  0 con=  0 def= 11
  mid        tri-eyes                  control-lock policy-pick           vic=  3 mer=  0 cap=  0 con=  0 def= 57
  mid        tri-eyes                  aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  mercy-seeker policy-pick           vic=  4 mer=  0 cap=  0 con=  0 def= 56
  mid        mirac                     greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     dot-weaver   policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
  mid        mirac                     control-lock policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             dot-weaver   policy-pick           vic= 22 mer=  0 cap=  0 con=  0 def= 38
  mid        hasshaku-sama             control-lock policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              dot-weaver   policy-pick           vic= 23 mer=  0 cap=  0 con=  0 def= 37
  mid        jeweled-tree              control-lock policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               control-lock policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  late       fire-giant                greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  late       fire-giant                blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  late       fire-giant                dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  late       fire-giant                control-lock policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
