
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=free-line-conversions


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: free-line-conversions (0 cards, 8 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  impossible the-incompleteness        turtle       policy-pick             0%  0/0/60/0       5.0        2%     22%    57%  100% 1.00   34%
  impossible the-incompleteness        chaos        policy-pick             0%  0/0/60/0       5.1        4%     50%    50%  100% 0.99   39%
  impossible the-incompleteness        mercy-seeker policy-pick             0%  0/0/60/0       5.7        5%     19%    53%  100% 1.00   27%

Win-path mix (per cell — victory/mercy/capitulate/concede/defeat):
  early      grave-larva               greedy       policy-pick           vic= 49 mer=  0 cap= 11 con=  0 def=  0
  early      grave-larva               blind        policy-pick           vic= 49 mer=  0 cap= 11 con=  0 def=  0
  early      grave-larva               dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               control-lock policy-pick           vic= 55 mer=  0 cap=  5 con=  0 def=  0
  early      grave-larva               aggro-brute  policy-pick           vic= 46 mer=  0 cap= 14 con=  0 def=  0
  early      grave-larva               turtle       policy-pick           vic= 43 mer=  0 cap=  4 con=  0 def= 13
  early      grave-larva               chaos        policy-pick           vic= 55 mer=  0 cap=  5 con=  0 def=  0
  early      grave-larva               mercy-seeker policy-pick           vic= 50 mer=  0 cap= 10 con=  0 def=  0
  early      foot-stealer              greedy       policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      foot-stealer              blind        policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      foot-stealer              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              control-lock policy-pick           vic= 58 mer=  0 cap=  2 con=  0 def=  0
  early      foot-stealer              aggro-brute  policy-pick           vic= 56 mer=  0 cap=  4 con=  0 def=  0
  early      foot-stealer              turtle       policy-pick           vic= 29 mer=  0 cap=  4 con=  0 def= 27
  early      foot-stealer              chaos        policy-pick           vic= 56 mer=  0 cap=  4 con=  0 def=  0
  early      foot-stealer              mercy-seeker policy-pick           vic= 55 mer=  0 cap=  5 con=  0 def=  0
  early      little-belle              greedy       policy-pick           vic= 54 mer=  0 cap=  6 con=  0 def=  0
  early      little-belle              blind        policy-pick           vic= 55 mer=  0 cap=  5 con=  0 def=  0
  early      little-belle              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              control-lock policy-pick           vic= 58 mer=  0 cap=  2 con=  0 def=  0
  early      little-belle              aggro-brute  policy-pick           vic= 53 mer=  0 cap=  7 con=  0 def=  0
  early      little-belle              turtle       policy-pick           vic= 36 mer=  0 cap=  8 con=  0 def= 16
  early      little-belle              chaos        policy-pick           vic= 57 mer=  0 cap=  3 con=  0 def=  0
  early      little-belle              mercy-seeker policy-pick           vic= 54 mer=  0 cap=  6 con=  0 def=  0
  early      water-holger              greedy       policy-pick           vic= 58 mer=  0 cap=  2 con=  0 def=  0
  early      water-holger              blind        policy-pick           vic= 59 mer=  0 cap=  1 con=  0 def=  0
  early      water-holger              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              control-lock policy-pick           vic= 57 mer=  0 cap=  3 con=  0 def=  0
  early      water-holger              aggro-brute  policy-pick           vic= 57 mer=  0 cap=  3 con=  0 def=  0
  early      water-holger              turtle       policy-pick           vic= 31 mer=  0 cap=  7 con=  0 def= 22
  early      water-holger              chaos        policy-pick           vic= 55 mer=  0 cap=  5 con=  0 def=  0
  early      water-holger              mercy-seeker policy-pick           vic= 53 mer=  0 cap=  7 con=  0 def=  0
  early      the-butcher               greedy       policy-pick           vic= 57 mer=  0 cap=  1 con=  0 def=  2
  early      the-butcher               blind        policy-pick           vic= 57 mer=  0 cap=  1 con=  0 def=  2
